member_id,training_hours,assessment_score,compliance_history,continuing_education,years_experience,previous_certifications,course_completion_rate,engagement_score,specialization_area,age_group,certification_approved
1,24.078042699305772,72.86112296333377,7.603089344620955,17,1.550431650885155,2,88.39738140683586,73.07693951103106,Power,46-55,1
2,100.30364292752563,36.272410977893394,14.26135498725381,13,6.679454234862359,4,51.721519895604274,74.16875193878474,Telecommunications,36-45,1
3,49.50237080636348,86.89144131516683,48.58387955406535,19,8.550179210883027,1,53.79940488911156,57.27530655533973,Telecommunications,36-45,1
4,37.3882766132786,95.39579797747419,62.16363184806142,14,4.475038595609589,4,79.15410068027501,68.56861888612481,Control,46-55,1
5,15.088746113870389,3.652781252841609,17.20376011395349,14,3.261468580301158,0,90.05046022150658,82.55392652820018,Telecommunications,46-55,1
6,15.087888757438154,73.91249716372552,4.133986219629362,9,3.828545314795974,3,80.17363877513391,90.54461508074304,Electronics,46-55,1
7,11.795163058260421,97.03190915937746,100.0,19,3.4584480691270225,3,46.59067076993434,93.80428166319513,Electronics,46-55,0
8,70.33692593439818,88.94946510912987,37.58421930240749,12,17.092493009837938,3,97.19973867550142,97.00342807195439,Electronics,36-45,1
9,37.57246460881794,77.7814982678077,59.29480336614369,12,8.307027524591838,3,92.15620277955642,50.044071503680534,Telecommunications,25-35,1
10,46.93750185113771,12.593431460029333,28.536696257564227,10,2.1665200649578873,2,33.699910009824656,59.34963629943639,Power,56+,1
11,10.623979239974158,66.81789940980703,3.0697586315829977,18,3.424077138127147,1,96.7579796395264,48.98240491241641,Electronics,56+,1
12,115.10672425474937,92.69691919152748,45.19398271184495,13,4.926447122873492,3,84.16245966130153,86.36468579522305,Electronics,25-35,1
13,63.59288630064025,94.0855036163774,96.69370780102186,16,5.746470272422327,1,49.30658199411215,67.40683715921068,Power,36-45,0
14,17.16062875746841,73.8995605032218,19.583598472050355,18,4.157287593124385,3,42.79115374653823,88.94091541303831,Control,36-45,1
15,16.0203696624899,95.7161689248967,2.6028229229419795,13,9.306989645472507,3,84.78725013995366,48.742218733078346,Telecommunications,25-35,1
