member_id,learning_hours_monthly,engagement_score,assessment_attempts,courses_completed,days_since_last_activity,compliance_rating,forum_participation,mentor_sessions,at_risk
1,16.30726572177327,73.32704253219615,7,4,17.236640729189983,84.41678416975458,6,1,0
2,6.0448097921063715,51.571864029733426,5,4,0.6993072432918274,49.937433616747754,4,2,1
3,5.087408961404609,44.36142270777691,1,2,5.227999063390516,98.67379455963203,5,5,0
4,11.617204181776248,86.27700795498801,2,3,4.787377142220378,77.9532828708933,9,1,1
5,17.25285122584931,16.44929035071805,4,3,3.878266549785568,93.62805251251021,5,3,0
6,8.601170429347723,47.767758673058346,4,1,15.931667283771855,98.7963427235802,7,1,0
7,49.41178482577662,34.818546864592236,2,0,1.4084942241056244,40.045517346983054,1,0,1
8,15.855707285020703,38.4278337190767,3,5,0.48013453075723034,57.64029160092484,4,1,0
9,9.868642320930421,53.930142020646564,2,2,5.253609917877773,89.81946222713051,5,3,0
10,7.973284426421008,32.44993915762993,5,7,5.174001747063555,84.75803560712438,5,3,0
11,7.04410700308878,57.931973697893426,2,2,5.883953532968096,52.82273860033983,3,2,0
12,17.669838764091892,24.988337450867547,3,3,4.8236932123099185,56.468276345117374,12,0,1
13,8.927266121636356,46.23082522223431,4,6,6.489011069937807,84.30929238363969,5,1,0
14,2.738393590788763,63.857048080484056,5,5,7.899188694984625,53.73017617591812,8,2,0
15,8.0908562025622,77.16554062208624,5,4,12.315936579734695,82.85852875053466,10,0,0
16,18.07271888001048,30.147780670629714,2,6,2.6002081349286525,31.454685770843188,6,3,0
17,4.417931127304165,24.131326540049898,4,6,8.9146974039879,96.04535508553441,8,4,1
18,4.315035510019715,14.7710154029215,4,5,14.542202597850986,65.32286722422369,5,1,1
19,11.099946071945386,48.847545256858496,3,2,4.009749660797611,99.562577481097,3,4,0
20,11.107023767231286,15.578674502876858,8,4,27.89694830838352,42.70805388339493,3,0,0
21,14.074616735164142,67.06111472433683,1,2,4.361648231682925,94.34730763532261,5,1,0
22,24.720069223506254,82.06969159176688,3,1,5.276158538232461,69.8549063443287,7,3,0
23,17.46806603984281,58.06049521763958,4,3,10.484712877889635,90.94497393987663,7,2,0
24,13.330836511400472,30.830981830095013,4,3,0.1239166841939359,78.87964755839819,9,2,0
25,17.38076407798764,45.08261313795271,4,6,8.032174348044775,93.8162929996051,4,2,0
26,6.680279832363137,79.3554446219993,3,4,8.762855921478181,47.643830804491884,5,0,0
27,7.389029476544163,57.54776909958321,2,2,2.6744879266719024,89.32928133220996,4,3,0
28,5.109341116914603,85.56984657553284,6,3,0.16305128757639062,91.33570342434138,3,1,0
29,6.1728210805905634,44.0602414952294,3,1,31.432633847866107,81.14440463566669,2,0,0
30,13.962727184401999,25.907022135073927,3,2,9.370105121129518,95.0446852035107,6,2,0
31,3.15951775623931,82.6160070925198,2,2,8.745601754440738,94.06318397615327,4,5,0
32,8.823600519666755,23.217317836872624,4,4,16.09590478536937,79.76562587166654,5,3,0
33,8.763604216518948,40.216655906489976,2,4,11.79248345754314,91.5899574820661,9,0,0
34,10.167157599276196,20.39676700785114,4,4,2.3126274488294873,94.57369732462512,4,2,0
35,8.65796317827553,48.83641473469746,3,5,9.835743159226492,74.8015802203483,8,3,1
36,6.492154372402705,25.493347862947036,3,3,3.8928613081215175,85.56658238514916,3,1,0
37,8.668857236809941,60.07591315633262,2,2,10.808711455909906,37.819772594104364,5,4,0
38,28.86284135724102,50.44191426976206,3,5,0.1586925813222547,87.37675638955125,8,5,1
39,36.623181758345396,15.772953493615496,4,3,8.688570836287367,66.79668595529287,2,1,1
40,10.361927547836236,48.16225618110433,2,2,17.082192819036127,98.19606625407681,4,0,0
41,13.73649218249185,81.076974818783,2,4,1.1680169195480068,90.22577706087593,7,3,1
42,3.4743995566021963,31.440892133519377,1,2,0.7393222314796813,57.621306750738256,4,2,0
43,6.580141867491476,23.942340123271016,3,0,4.671606126883987,96.65789568020782,7,0,0
44,8.430156827412379,48.17538786164876,2,2,0.2268567675170636,35.1113909592441,4,1,1
45,26.14670351578497,18.673687430202467,3,2,1.8331775934369008,80.54284369979182,5,3,0
46,5.459472928476034,33.17060401341143,3,4,8.132326219073676,72.37602700094595,4,0,1
47,9.91734418207574,56.25098168294704,4,3,4.063640315221055,88.67132763660072,5,3,1
48,52.85285958468303,26.74159786974159,2,2,1.0916769027802589,70.8951387885727,3,1,0
49,10.794764981227202,42.72872261476923,1,0,10.864846167516719,85.02448351313237,4,2,0
50,13.388696958048486,42.33868718175788,1,2,0.6101864732939055,98.30963505017382,9,2,0
51,3.5425762397732687,76.21407052991142,2,4,1.5241721036972715,68.68902131512117,6,3,0
52,23.007926287778627,82.99017476196296,4,6,2.9891436112887457,97.57972645308533,5,2,1
53,13.087645600642237,30.890136164980085,2,3,2.004322402382987,65.11725449241979,2,2,0
54,11.451288031563422,81.13447441301163,3,7,27.0236009119212,91.68768055327851,5,0,0
55,7.036542362691337,73.00666476093596,4,4,0.11675045097462336,94.70192300091625,8,3,0
56,6.3509501739400385,56.1229760917674,2,4,0.9527381902987595,96.08814159617283,6,1,0
