member_id,course_id,rating,completed,time_spent_hours
424,17,4,1,4.1167220301905045
210,62,3,0,9.705498533183277
292,43,3,1,1.7674263227523357
237,69,3,1,18.8560254568938
141,12,5,1,24.311872312299478
473,32,5,1,15.809550347381746
301,6,3,1,5.499739280260516
437,92,5,1,10.027268736411903
189,14,3,1,14.961774788078442
276,67,5,1,6.136465935803802
231,67,4,1,40.483125912574344
479,64,4,0,7.774385377557457
32,47,3,0,0.29288922619123875
252,9,2,1,3.360004004368582
351,23,4,0,1.43792825487921
77,35,2,1,0.5213379130415731
463,92,5,0,0.8976733919444673
494,61,4,0,3.050977331308827
311,70,4,1,0.37345677487370144
372,4,4,1,14.50481393744619
311,45,4,0,1.4455294625602613
100,65,5,1,1.4855426800040648
151,88,2,1,9.645755234099862
254,96,3,1,21.45385702567287
119,26,4,1,3.4971713295730353
324,6,3,1,2.519709214315407
282,45,4,0,1.1108197734670082
276,81,4,0,1.7018852159620206
220,74,4,1,5.568261967724095
136,66,4,1,5.359732576202556
352,96,4,1,2.6336553683953
213,80,5,1,17.303880272369888
373,93,2,1,2.567144230831271
253,30,3,1,8.531461934549613
245,66,4,1,14.871066581215786
399,67,3,1,1.6642299160743574
84,81,2,0,4.459840525953951
167,6,4,0,8.663322402447786
165,86,3,0,4.840986788975978
458,47,3,1,0.08612502510928272
450,79,3,0,0.18771933056708476
171,79,4,1,5.562909339627719
499,25,5,1,0.8380440636073339
72,81,3,1,0.09243244943917348
170,86,5,0,1.384739425351156
443,11,3,0,3.337484627290477
393,92,4,1,25.293853706328647
290,42,4,1,8.052060482919979
341,98,4,0,3.2266238958668545
412,84,3,0,0.2830840891247778
206,96,5,0,3.053998069517491
423,41,5,1,0.9342441106207335
349,75,3,1,12.317132581335365
98,55,3,0,8.123385452638306
299,85,4,1,1.7234604801370628
34,14,2,0,2.053269778427475
262,17,3,1,7.508663073798788
289,34,4,1,9.169013641319086
329,92,2,1,22.7413279032029
391,29,3,1,8.284507451751121
433,64,2,0,0.7964889250833391
69,70,3,1,12.970424872287573
435,16,3,1,3.003892793590383
366,96,4,1,19.929697572045857
184,14,4,1,4.053678516985915
413,30,4,1,3.225268938722218
327,27,2,1,11.41008956125906
